語言	條目	字元數	發現路徑
ja	悪ノ大罪シリーズ	406756	Category:魔女 > 魔女を題材とした作品
ja	PSYCHO-PASS サイコパス	354803	Category:シャーマニズム > シビュラ
en	WandaVision	304230	Category:Witchcraft > Curses > Fiction about curses
ja	後醍醐天皇	297377	Category:陰陽道 > 日本の神 (人物神 御霊信仰)
ja	Re:ゼロから始める異世界生活	289535	Category:魔女 > 魔女を題材とした作品 > 魔女を題材とした小説
ja	幸福の科学	267256	Category:シャーマニズム > 霊媒師
en	Wizarding World	261122	Category:Witchcraft > Fiction about witchcraft
es	Game of Thrones	253558	Categoría:Brujería > Brujería en la ficción > Brujería en cine y televisión
es	Mundo Mágico	244034	Categoría:Brujería > Brujería en la ficción
en	Doctor Strange in the Multiverse of Madness	242514	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	スライム倒して300年、知らないうちにレベルMAXになってました	238403	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	The Odyssey (2026 film)	233157	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	アレイスター・クロウリー	229741	Category:呪術 > 黒魔術
en	Sports-related curses	228511	Category:Witchcraft > Curses > Sports-related curses
en	Morgan le Fay in modern culture	226738	Category:Witchcraft > Fiction about witchcraft > Modern Arthurian fiction
ja	ストライクウィッチーズ	226321	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	Beauty and the Beast (2017 film)	222721	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
ja	祇園祭	217668	Category:陰陽道 > 御霊信仰
ja	おジャ魔女どれみ	216784	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたアニメ作品
en	The Exorcist	211954	Category:Witchcraft > Curses
en	History of magic	207955	Category:Witchcraft
en	Gilles de Rais	207509	Category:Witchcraft > Witchcraft in folklore and mythology > Deal with the Devil
fr	Blanche-Neige et les Sept Nains	207217	Catégorie:Sorcellerie > Sorcellerie féminine > Film mettant en scène une sorcière
en	Harry Potter	198974	Category:Witchcraft > Curses > Fiction about curses
ja	ファイナルファンタジーVIII	195044	Category:魔女 > 魔女を題材とした作品 > 魔女を題材としたコンピュータゲーム
en	Wicked (2024 film)	190276	Category:Witchcraft > Fiction about witchcraft > Films about witchcraft
fr	Once Upon a Time	190201	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
fr	Merlin	189588	Catégorie:Sorcellerie > Magicien ou sorcier de légende
en	Joan of Arc	186511	Category:People executed for witchcraft > French people executed for witchcraft
fr	American Horror Story	184357	Catégorie:Sorcellerie > Sorcellerie dans l'art et la culture > Série télévisée sur la sorcellerie
es	QAnon	182911	Categoría:Brujería > Satanismo > QAnon
