"盟約"	"盟約說明"	"盟約"	"吉祥物"	"吉祥物說明"	"名稱"	"來歷"	"外觀"	"盟約"	""	""	""	"盟約"	"額外功能"	""	"黑暗"	""	"盟約動作"	""	""
"光明子女"	"這類盟約有利於並鼓勵更貼近個人、更明亮的故事。在其中，魔法少女通常不會面對巨大的威脅，而是將黑暗呈現為一種更模糊的存在。因此，與其對抗強大的黑暗使徒，黑暗更多地表現為需要玩家角色介入解決的後果和事件。這種描繪對手的方式，使得故事通常更圍繞魔法少女日常生活中的人際關係展開。 光明子女類似於這個類型的起源：日常奇幻故事，角色之間的關係以及她們如何影響周遭生活是核心主題，而與黑暗生物的戰鬥和動作部分退居次要。"	"光明子女"	"同伴"	"同伴是喚醒魔法少女力量並創造護符的存在。一旦成功喚醒她的受選者，同伴便會充當玩家角色在成為魔法少女道路上的嚮導和導師，同時也是知識的泉源，以及與魔法世界連結的橋樑。 當你們開始建立新的同伴時，建議玩家和 MC 一起討論。不必深入太多細節，很多時候留下一些空白、隨著故事進展去發掘，會更加有趣。"	"記載同伴的名稱，這可能很大程度取決於其起源。在許多作品中，這個名字是由魔法少女自己取的，因為同伴通常是從她們的願望中誕生，或者她們親歷了同伴的誕生。如果同伴原本就存在，通常會有一個簡稱或因原名難以發音或無人知曉而使用的化名。"	"同伴的來歷通常源自這類世界觀中的魔法世界（參見「世界觀」）。因此，同伴可以是某位被遺忘的神祇的僕從或子嗣、具有魔法本質的動物或生物、守護靈、具現化的願望……在某些情況下，也可能是導師，例如一位退休的魔法少女訓練新一代。 在構思同伴時，請注意同伴對其保護對象懷有惡意或別有用心的情況極為罕見，不過同伴可能會隱瞞一些祕密，因為在同伴眼中，她們還沒準備好面對某些狀況。"	"同伴通常以明顯帶有魔法性質的人物、動物或物品的形態出現。其討喜的外表可能被誤認為是絨毛玩偶或來自童話的生物。即使是那些看起來比較普通的同伴，也會有某些元素暴露其魔法起源，例如一隻帶有神祕符號的動物或一個長著尖耳朵的人類。 同伴通常也是不可見的，只有具備某種魔法素質或相信超自然事物的人才能看到。"	"光明子女"	"陰影是什麼？"	"光明子女"	"來歷"	"光明子女"	"羈絆與友情"	"同伴與締結盟約的魔法少女總是緊密相連、深信不疑。當同伴喚醒她們心中的光明時，也會使彼此的心靈相繫，建立一條新的羈絆。 擁有這種盟約的玩家角色在選擇友情扮演書時，會獲得一條與其同伴的額外羈絆，並將其標記為「同伴」。這條羈絆在遊戲中的運作方式與其他羈絆相同，但有以下例外： ✽ 在每次聚會開始時，同伴獲得等同於玩家角色人數的友情點數。在聚會進行中，任何一位玩家角色在使用友情點數時，可以查看盟約扮演書——如果同伴至少有 1 點友情點數，便可以改用同伴的友情點數。 ✽ 如果標記為「同伴」的羈絆因阿特洛波斯之禍而斷裂，該玩家角色將失去魔法少女的力量。因此她將無法再使用護符或穿戴光之裝束，並成為由 MC 控制的非玩家角色。"	"光明子女"	"擁有這種盟約的玩家角色在黑暗等級提升時不會受到任何懲罰。如果某位玩家角色在任何時候達到黑暗等級 5，則視為其內心已被黑暗過度侵蝕，無法再使用內在的光明。此時標記為「同伴」的羈絆斷裂，她失去力量，並成為由 MC 控制的非玩家角色。"	"光明子女"	"紅色友情之線"	"每位玩家角色的友情扮演書獲得一條額外羈絆。"
"正義騎士"	"正義騎士盟約可以模擬人們想到魔法少女類型時最常聯想到的主流故事。在這些故事中，一群少女對抗黑暗的怪物和生物，同時也努力過著青少年的日常生活。這類故事將經典魔法少女元素與超級戰隊的某些特徵相結合，從九〇年代至今一直非常流行。然而，MC 必須非常小心地維持故事的平衡，避免落入「本週主打怪」的窠臼。不要忽視你的目標和原則，以及我們在「主持人指南」章節中給你的建議。 當你們決定採用這類故事時，要注意別讓故事只剩下與入侵地球的生物之間的戰鬥。一般而言，每個敵人都應該是幫助魔法少女成長的一課，同時也必須與她們的日常生活及各自的日常問題相配合。欲知更多，請參閱「世界觀」。"	"正義騎士"	"使者"	"這些存在效忠於一個強大的光明實體，致力於保護世界（或世界的一部分）。一旦察覺到黑暗的存在，便迅速創造追隨者，或召來既有的追隨者，開始尋找心中蘊藏光明之力且具備特定條件的人。找到後，這個守護實體便與她們締結盟約以鍛造護符。 當你們選擇正義騎士作為戰役的盟約時，玩家和 MC 應花幾分鐘時間來塑造這個實體。不必深入太多細節，很多時候留下一些空白、隨著故事進展去發掘，會更加有趣。"	"記載使者的名稱。使者的名字通常比較簡單，習慣上會提及其來源或能力，鮮少附帶一個小小的頭銜。使者通常是成群被派遣的，每一位對應一位魔法少女（參見「盟約與多位使者」側欄）。"	"使者效忠於一位偉大的光明守護者，負責保護世界免受黑暗侵害。不幸的是，因某些原因，這位守護者無法直接行動，因此必須喚醒並選擇能夠運用隱藏在心中的光明之力的人。為了尋找和喚醒未來的魔法少女，守護者派遣了使者。 在建立使者時，你應該思考他們效忠的實體。這些守護實體的例子包括：過去曾被摧毀的另一個次元的統治者、感知到危險的古老神祇、試圖阻止其時代所發生之事的未來存在，等等。"	"使者是小型的生物，外形讓人聯想到動物或人類。其中一些帶有奇幻元素出場，例如仙子或火焰貓。雖然少數是普通動物，但可能擁有說話的能力。無論外觀如何，所有使者身上都有一個代表其效忠實體的印記。他們的一個缺點是任何人都能看見他們，因此魔法少女必須努力將他們隱藏起來。"	"光明子女"	"染污者是什麼？"	"正義騎士"	"效忠對象"	"正義騎士"	"合作"	"選擇正義騎士盟約的玩家角色團隊習慣互相協助與團隊合作，彼此彌補弱點。 任何玩家角色都可以像使用基礎動作一樣使用任何合作動作，但有以下條件： ✽ 每次使用其中一個動作時，會被標記。 ✽ 玩家角色不能使用已被標記的合作動作。 ✽ 在聚會開始時，取消所有動作的標記。"	"正義騎士"	"當選擇這種盟約時，每當一位玩家角色獲得一個黑暗等級，選擇一個合作動作。從那一刻起，該玩家角色無法再觸發該動作。 當你獲得黑暗等級 5 時，選擇一個選項： ✽ 該玩家角色現在效忠於黑暗，成為由 MC 控制的首領。 ✽ 該玩家角色神祕地消失。 ✽ 該玩家角色失去力量，變成一個冷漠、毫無情感的人，成為由 MC 控制的非玩家角色。 如果玩家和 MC 認為適當，不妨安排某種方式讓玩家角色恢復或重獲魔法少女的能力。這種情況可能需要付出代價，例如：她被削弱了、失去了記憶、能力變得不同了、擁有不同的扮演書、轉世為新角色，等等。"	"光明子女"	"摯友"	"在每次聚會開始時，每位玩家角色獲得 1 點友情點數。"
"契約傀儡"	"如果你們想講述以恐怖、絕望與憂鬱為主軸的更黑暗故事，契約傀儡盟約會是合適的選擇。這類故事通常大幅偏離魔法少女的傳統慣例；然而，近年來有些作品走上了這條路。 在講述這些故事時，我們看到主角們試圖緊握住她們知道終將失去的幸福和美好時光。MC 應努力奪走角色的每一片幸福，並挖出其中的陰暗面。為此，必須強調她們使命的徒勞，有時甚至展示她們每前進一步都在逐漸變成她們所對抗的東西。 當你們決定採用這種設定時，很容易只沉浸在恐怖的部分；這是 MC 必須避免的。要讓契約傀儡盟約發揮作用，角色們必須擁有她們害怕失去的東西，以及可以回歸的快樂時刻，以便與恐怖形成對比。欲知更多關於這類世界觀的資訊，請參閱「世界觀」章節。"	"契約傀儡"	"監護者"	"監護者以神祕生物的形態出現，試圖藉由尋找魔法少女的渴望和憧憬來誘惑她們。監護者的目標通常是曖昧的，因為雖然他們看似有興趣尋找並消滅黑暗，卻對幫助或指導那些被喚醒的魔法少女毫無興趣。為了確保對受選者的控制，所有監護者都會在護符中植入一個缺陷，使得隨著時間推移，魔法少女的光明會消逝並被黑暗所取代。這種態度使得許多被監護者喚醒的少女感覺自己只是工具。 當你們選擇契約傀儡作為戰役的盟約時，玩家和 MC 應花幾分鐘時間來塑造這個存在。不必深入太多細節，很多時候留下一些空白、隨著故事進展去發掘，會更加有趣。"	"記載監護者的名稱。這些存在通常有著人類無法發音的名字，因此會選擇一個聽起來悅耳的名字，以顯得更無害，從而輕易贏得魔法少女的信任。此外，每位監護者都有一個用以與其他監護者區別的頭銜，那是在成功消滅第一個黑暗使徒時獲得的。"	"監護者的來歷通常起源於其擔任黑暗使徒獵手的時期，不過這取決於其動機（參見「世界觀」）。因此，他們親自處理目標，在適合執行任務的人身上喚醒光明。監護者通常也與一個強大的化身有所關聯——那是他們初次交戰的對象，也是他們獲得頭銜的契機，從此與之結下因緣。 監護者慣於非常謹慎，只提及魔法少女作戰、達成其目的所必需的最低限度資訊。這些存在極少把被喚醒的少女當成工具以外的東西。"	"監護者是形態恐怖的生物，其真實樣貌超出任何人類的想像。理所當然地，他們對此非常清楚，因此在與魔法少女打交道時，會採用一種經過精心設計、討人喜歡的幻象形態。這個偽裝通常模仿地球上的某種動物，但因其顏色、標記或附加物而明顯帶有魔法氣息，呈現出一種夢幻的形象。這個形態幾乎總是看起來脆弱嬌小，總之，看起來很容易被摧毀。然而，對監護者來說，再造一個新的外殼以繼續其工作是輕而易舉的事。"	"光明子女"	"為什麼沒有人意識到染污者的存在？"	"契約傀儡"	"來歷"	"契約傀儡"	"無額外功能"	""	"契約傀儡"	"當選擇這種盟約時，玩家角色獲得以下規則： ✽ 當你獲得一個新的黑暗等級時，從你的原型黑暗動作清單中選擇一個動作，加入你的動作清單中（參見「動作」）。 ✽ 每當玩家角色獲得 1 點光點時，可以決定將其轉換為 1 點暗點。 ✽ 如果玩家角色的黑暗等級達到 5，則轉為 MC 控制，成為新的黑暗使徒。其階級及黑暗恩賜由 MC 自行決定。"	"光明子女"	"青春之純粹"	"在聚會結束時，在執行抵抗黑暗動作之前，消除 1 點黑暗點數。接著，如果你有 0 點黑暗點數，則不觸發抵抗黑暗動作。"
""	""	""	""	""	""	""	""	"光明子女"	"染污者想做什麼？"	""	""	""	""	""	""	""	"光明子女"	"心心相繫"	"在聚會開始時，決定同伴擁有多少友情點數時，一位玩家角色可以從自己的扮演書上額外交付任意數量的友情點數。玩家角色不能以此方式交付自己的最後 1 點友情點數。"
""	""	""	""	""	""	""	""	"光明子女"	"魔法世界是什麼？"	""	""	""	""	""	""	""	"光明子女"	"收藏卡冊"	"同伴擁有一系列可以被召喚來幫助魔法少女的物品和能力。當你向同伴求助時，說明使用什麼物品或能力來幫助你；接著消耗同伴的 1 點友情點數，使你的下一次動作獲得 +1。"
""	""	""	""	""	""	""	""	"光明子女"	"如何從現實世界進入魔法世界？"	""	""	""	""	""	""	""	"光明子女"	"友情是世界上最珍貴的寶物"	"每位玩家角色從其友情扮演書中獲得一個額外動作。"
""	""	""	""	""	""	""	""	"光明子女"	"為什麼魔法世界的居民不來現實世界？"	""	""	""	""	""	""	""	"光明子女"	"同伴的戰鬥形態"	"同伴有能力在玩家角色面對黑暗時提供幫助，化為其戰鬥形態。 選擇一組基礎值： ✽ 搏鬥 +1、機智 +1、護衛 +1、笨拙 +1。在搏鬥、機智或護衛中選擇一項 +1。 ✽ 或 ✽ 搏鬥 +1、機智 +1、護衛 +1、笨拙 +2。在搏鬥、機智或護衛中選擇兩項各 +1。 接著，如同玩家角色一樣選擇一個主題。 在任何時候都可以請求同伴的幫助。一旦提出請求，戰鬥形態啟動時擁有 2 點。同伴可以執行以下任一行動： ✽ 聯合攻擊：與另一位玩家角色聯合攻擊。將其搏鬥值加到你的下一次動作上。擲骰後扣除 1 點。 ✽ 觀察協助：幫助觀察情況或尋找新的觀點。將其機智值加到你的下一次動作上。擲骰後扣除 1 點。 ✽ 保護支援：嘗試保護另一個人或幫助你從困難情況中脫身。將其護衛值加到你的下一次動作上。擲骰後扣除 1 點。 ✽ 造成阻礙：妨礙或給你製造麻煩。從你的下一次動作中減去其笨拙值。擲骰後增加 1 點。 當其點數歸零時，同伴消失或暫時失去力量。"
""	""	""	""	""	""	""	""	"光明子女"	"同伴是什麼？"	""	""	""	""	""	""	""	"正義騎士"	"聖域"	"存在一個黑暗無法偵測或滲透的安全場所——一個由光明創造的避難所，只有玩家角色和受邀者在滿足某些條件時才能進入。"
""	""	""	""	""	""	""	""	"光明子女"	"考驗的內容是什麼？"	""	""	""	""	""	""	""	"正義騎士"	"我們的力量歸於你"	"一位玩家角色可以決定將其護符的部分力量借給另一位玩家角色。接著消耗 1 點友情點數。該玩家角色在場景剩餘時間內無法變身，但接受力量的玩家角色選擇一個選項： ✽ 如果處於基礎形態，則獲得超級形態。 ✽ 如果處於超級形態，則獲得凱旋形態。"
""	""	""	""	""	""	""	""	"光明子女"	"為什麼只有青少年女孩才能通過考驗？"	""	""	""	""	""	""	""	"正義騎士"	"不只是一個團隊"	"如果在聚會結束時所有合作動作都已被標記，你們獲得 1 點閃耀點數。"
