"扮演書"	"los Libretos"	"說明"	"說明"	"說明"	"屬性選項"	"說明"	""	"挑戰"	"保護"	"思慮"	"情感"	"奉獻"	""	""	""	""	""	""	""	""	""	""	""	""	""	"動作"	""	"動作"	""	""	""	""
"勇者"	"La Campeona"	"勇者"	"勇者魔法少女之所以被選中，是因為她內心蘊藏著巨大的潛能。雖然她在故事中經常扮演主角，但這其實只代表她擁有與生俱來的使用力量的天賦。在傳統設定中，她通常是史上最強的魔法少女，或至少擁有成為最強的潛力。 經典的勇者永遠相信他人，毫不猶豫地走上光明之路來對抗黑暗。她總是尋求夥伴的支持，讓大家站在她身邊，因為儘管擁有強大的力量，她深知依靠眾人的幫助總是更好的選擇，這樣她才能與全世界分享內心的光明。這種思維方式也延伸到了她的日常生活中。"	"勇者"	"將 +1 加到一項屬性上。"	"勇者"	"挑戰+1/保護+0/思慮-1/情感+1/奉獻+1"	"1"	"0"	"-1"	"1"	"1"	"勇者"	"心之力 A"	"懲罰 +1"	"摧毀 +1"	"勇者"	"受眷顧者"	"勇者"	"同時獲得："	""	"勇者"	"勇者進階動作"	"勇者進階動作"	""	"勇者"	"內心的光永不消逝"	"若你擁抱另一位玩家角色，可以花費 1 點友情點數讓該玩家角色執行「失去光明」動作，並且該次擲骰追加 +2。"	"勇者"	"契約傀儡"	"黑暗恩賜"	"當你觸發變身動作時，選擇一項：護甲、堅韌、懲罰、摧毀。你獲得該光之裝束能力，不受能力等級限制。能力值等於你的暗點數，最低為 1。"
"參謀"	"La Consejera"	"參謀"	"參謀魔法少女不會被情緒牽著走，而是將理性放在首位，總是放眼長遠。正因如此，參謀永遠保持邏輯思考，輕易成為維繫團隊凝聚力與專注力的中樞。參謀需要把一切都計畫好，因此即興行動或隨波逐流往往會讓她陷入停滯，直到找到重新掌控局面的方法。 她通常認真對待魔法少女的職責，研究黑暗以做好準備，並擬定各種策略來克服它。正是這種思維方式讓她能夠制定長期策略並預見一切，儘管這也會帶來一些麻煩。"	"參謀"	"將 +1 加到一項屬性上。"	"參謀"	"挑戰+0/保護+0/思慮+2/情感-1/奉獻+1"	"0"	"0"	"2"	"-1"	"1"	"勇者"	"懲罰 +1"	"心之力（　）"	"護甲 +1"	"參謀"	"天才"	"勇者"	"出場宣言"	"你變身並發表一段關於光明之力與黑暗罪惡的演說。獲得 1 點光點。"	"勇者"	"提升一項屬性（上限 2）"	"友情扮演書動作"	""	"勇者"	"同儕之首"	"當你是唯一面對黑暗存在的魔法少女，且宣告某件給予你力量的事情時，獲得 1 點光點。"	"勇者"	"契約傀儡"	"黑暗形態"	"如果你穿戴光之裝束，並描述它似乎汲取了黑暗的力量，獲得 1 點黑暗點數。從那一刻起直到場景結束，使用你的暗點來代替光點計算你的能力等級。"
"衛士"	"La Guardiana"	"衛士"	"衛士魔法少女下定決心要阻止世界的苦難，挺身化為盾牌，試圖將悲傷與危險從每一個認識的人身邊驅離。她永遠保持警戒，隨時準備面對遇到的第一個問題。你永遠可以信賴衛士會在那裡，伸出手讓你重新站起來。然而，獨自承擔保護世界的重任是一條危險的路，因此她必須從他人身上找到力量來分擔這份重擔。 衛士通常擁有一套強大的價值準則，使她能夠定住己心，不致失去光明、將光明與黑暗混淆。她總是願意傾盡所有，因為她相信自己內心的力量是無窮無盡的。"	"衛士"	"選擇一組屬性，無額外調整。"	"衛士"	"挑戰+1/保護+2/思慮+0/情感+1/奉獻-1"	"1"	"2"	"0"	"1"	"-1"	"勇者"	"堅韌 +1"	"昇華 +1"	"心之力（　）"	"衛士"	"光之盾"	"勇者"	"選擇三個選項："	""	"勇者"	"獲得「受眷顧者」的三個額外選項"	"提升一項屬性（上限 3）"	""	"勇者"	"光之心"	"當你是「生活故事」動作的主角時，若擲骰結果為 10 以上，你可以消除 1 點黑暗點數——無論是你自己的還是與你共同參與該動作的任何人的。"	"勇者"	"契約傀儡"	"自私之心"	"當你運用內在的黑暗來幫助另一位玩家角色時，獲得 X 點黑暗點數。接著，目標玩家角色將等量於你獲得的黑暗點數的友情點數交給你。此動作可使用的最大黑暗點數等於你的黑暗等級。"
"鬥士"	"La Guerrera"	"鬥士"	"與其他魔法少女不同，鬥士以更加直接的方式面對與黑暗的衝突。這個特質使她成為一位偏好正面迎擊黑暗、不耍花招的魔法少女。雖然這種行事風格可能被認為暴力或好鬥，但事實並非如此：她只是一個果斷、不拐彎抹角的人。 鬥士通常擁有強大的魅力與令人著迷的性格，這激勵著其他人全力以赴。然而反過來說，她們也驕傲而自負。 在魔法少女的角色中，鬥士擁有面對黑暗生物的能力與手段，無論是幫助他人還是將自身能力用於對抗黑暗。"	"鬥士"	"選擇一組屬性，接著將一個 0 改為 +1，另一個 0 改為 -1。"	"衛士"	"挑戰-1/保護+2/思慮+0/情感+1/奉獻+1"	"-1"	"2"	"0"	"1"	"1"	"參謀"	"心之力 D"	"摧毀 +1"	"堅韌 +1"	"鬥士"	"戰士之道"	"勇者"	"以正義之力"	"變身時，獲得懲罰 +1 與摧毀 +1。"	"勇者"	"解鎖光之裝束的超級形態"	"解鎖光之裝束的凱旋形態"	""	"勇者"	"正義必勝"	"當所有玩家角色都承受了「落敗」後果且你拒絕接受時： 擲骰+情感： 10+ 場景中所有玩家角色獲得 1 點光點，並同時適用 7-9 的結果。 7-9 所有玩家角色取消「落敗」後果以及一項額外後果。"	"勇者"	"契約傀儡"	"黑暗印記"	"選擇一項屬性並增加 +1（最高 4）。在每次聚會開始時獲得 1 點黑暗點數。"
"偶像"	"La Idol"	"偶像"	"偶像魔法少女永遠關注潮流、時尚和社交關係，通常在意他人的看法，性格外向、大方且開放。某些偶像的性格可能只是一副面具，表面上展現快樂，內心實際上充滿憂鬱；或者看似無私，實際上只是想要提升名聲與獲得他人的仰慕。 偶像總是試圖站在行動的中心，當聚光燈照耀時——無論是真實的還是比喻的——若旁人不注視她，她會感到不快。雖然她看起來可能有些膚淺和單純，但實際上比表面上要機靈和敏銳得多。她的能力來自於強烈的情感力量，讓她能理解感受與人際關係，察覺到他人所忽視的事物。 作為魔法少女，她以熱情和情感作為動力，即使在最絕望的時刻也能取得勝利。忠於自我是一種鼓舞人心的特質，也讓她在釋放全部潛能時成為眾人矚目的焦點。"	"偶像"	"選擇以下其中一種方式分配：將 +3 加到一項屬性上、將 +2 和 +1 分別加到兩項屬性上，或將 +1 加到三項屬性上（任一屬性上限為 +2）。"	"衛士"	"挑戰+0/保護+2/思慮+1/情感+0/奉獻+0"	"0"	"2"	"1"	"0"	"0"	"參謀"	"摧毀 +1"	"心之力（　）"	"懲罰 +1"	"偶像"	"超級巨星"	"勇者"	""	""	"勇者"	"友情扮演書動作"	""	""	"勇者"	"天選之力"	"每次聚會可使用一次，你可以在「心之力」動作中使用任何心之力效果，不受你的能力等級限制，即使你已經使用過也可以。執行動作後，若該心之力原本未被標記，則不標記它。"	"參謀"	"契約傀儡"	"黑暗才能"	"當你擲骰決定動作結果時，獲得 1 或 2 點黑暗點數。你可以重擲等同於所獲黑暗點數的骰子數；同一顆骰子不能重擲超過一次。"
"聖母"	"La Sanadora"	"聖母"	"聖母擁有難以言表的豐富內在世界，因為她們與自己的內心和光明有著深刻的連結。與力量彷彿與生俱來的勇者不同，聖母的力量是透過她的敏感度獲得的。她的性格通常沉穩寧靜，知道何時該行動，不猶豫地先去尋找解決方法而非走捷徑。聖母的目光總是混合著天真與智慧，微笑著享受最簡單的事物，因為她能看見內心深處的精神富饒。在與他人的關係中，她珍視陪伴與團隊合作，但也常常用微笑掩藏自己的重擔，寧可獨自承受也不願看到他人痛苦。 變身後，聖母通常會運用自己的心與光明連結來支援同伴，而非直接上陣。這種團隊合作的方式使她在朋友們面對黑暗時成為不可或缺的關鍵存在。"	"聖母"	"將 1 點加到保護、思慮或情感上。"	"鬥士"	"挑戰+2/保護+0/思慮+1/情感+0/奉獻+0"	"2"	"0"	"1"	"0"	"0"	"參謀"	"昇華 +1"	"昇華 +1"	"心之力（　）"	"聖母"	"聖光"	"勇者"	"神聖優雅"	"變身時，獲得昇華 +1。"	"參謀"	"參謀進階動作"	"參謀進階動作"	""	"勇者"	"我從不孤單"	"當你大聲說出為什麼一位與你有羈絆的玩家角色存在於你心中時，將你的能力量表降低 1 點。接著，若該玩家角色的光點等於或少於你，你可以將你的 1 點光點給予該玩家角色。"	"參謀"	"契約傀儡"	"背叛"	"當你承受傷痛並說明它如何波及另一位玩家角色時，獲得 2 點黑暗點數。將傷痛轉移給該玩家角色。"
""	""	""	""	""	""	"鬥士"	"挑戰+1/保護+0/思慮+2/情感+0/奉獻+0"	"1"	"0"	"2"	"0"	"0"	"衛士"	"心之力 D"	"護甲 +1"	"堅韌 +1"	""	""	"勇者"	""	""	"參謀"	"提升一項屬性（上限 2）"	"友情扮演書動作"	""	"參謀"	"理性凌駕感性"	"選擇一項動作。從此之後，每當你觸發該動作時，若你以冷靜且精心計算的方式行事，可以使用思慮來代替指定的屬性。"	"參謀"	"契約傀儡"	"非人意識"	"思慮 +1（最高 4）。當你擲出 12 以上時，獲得 1 點黑暗點數。"
""	""	""	""	""	""	"偶像"	"挑戰+0/保護+0/思慮-2/情感+2/奉獻+0"	"0"	"0"	"-2"	"2"	"0"	"衛士"	"堅韌 +1"	"心之力 D"	"昇華 +1"	""	""	"勇者"	"守護者的低語"	"你的「真理之光」擲骰結果追加 +1。"	"參謀"	"友情扮演書動作"	"提升一項屬性（上限 3）"	""	"參謀"	"務實主義"	"當你為「抵抗黑暗」擲骰時，追加 +1。"	"參謀"	"契約傀儡"	"凡人之上的至高心智"	"當你炫耀自己的聰明才智並證明目標不如你時，獲得 1 點黑暗點數。在場景剩餘時間內，你可以在任何動作中使用思慮。"
""	""	""	""	""	""	"聖母"	"挑戰-2/保護+1/思慮+0/情感+1/奉獻+2"	"-2"	"1"	"0"	"1"	"2"	"衛士"	"護甲 +1"	"懲罰 +1"	"心之力（　）"	""	""	"勇者"	""	""	"參謀"	"解鎖光之裝束的超級形態"	"解鎖光之裝束的凱旋形態"	""	"參謀"	"一絲不苟"	"當你完成一項變身動作後，可以如同執行「真理之光」動作一般提出一個問題。"	"衛士"	"契約傀儡"	"以痛為食"	"獲得 1 點黑暗點數。在場景剩餘時間內，當一位不是你的玩家角色標記一項後果時，你獲得摧毀 +X 或懲罰 +X。X 等於你的黑暗等級。"
""	""	""	""	""	""	""	""	""	""	""	""	""	"鬥士"	"心之力 A"	"護甲 +1"	"懲罰 +1"	""	""	"勇者"	"心之引導"	"選擇一項基礎動作，當你向心中之光祈求幫助時，可以使用奉獻屬性來代替該動作指定的屬性。"	"參謀"	"獲得一項你尚未擁有的天才動作"	""	""	"參謀"	"遠端支援"	"當你擁有某種形式的助手（AI、精靈、書本、盟友……）時，選擇兩項動作。只要你能取得它的協助，在執行這些動作時追加 +1。"	"衛士"	"契約傀儡"	"黑暗心盾"	"當你執行變身動作時，你的光之裝束看起來像是由黑暗而非光明所創造。獲得 1 點黑暗點數，並將你的心靈之盾替換為黑暗心盾。 ✽ 一項後果：使用暗點代替光點計算你的能力量表。 ✽ 兩項後果：你可以互換保護和挑戰的數值。 ✽ 三項後果：獲得 1 點暗點。 ✽ 四項後果：你的摧毀和懲罰各 +2。 ✽ 五項後果：獲得 1 點暗點和昇華 +1。"
