"戀愛扮演書"	""	"效果"	""	"動作"	""	""
"失去的愛"	"你曾經瘋狂地愛過一個已經不在的人。他可能已經死去、去了一個不可能到達的地方，或者因為其他原因你無法接近他——例如他和別人在一起或陷入昏迷。儘管如此，你仍然在內心深處惦記著他，對你來說他從未離去。也許你仍然抱著他會回來的希望，因為如果你放手，你覺得他會徹底消失，又或者只有你自己才能理解的其他理由。"	"失去的愛"	"獲得一條標記為戀愛／失去的愛的羈絆"	"失去的愛"	"今天發生了一件有趣的事，不知道我有沒有跟你說過……"	"當你講述一段與你的戀人的舊趣事，或與他進行一段親密場景時，戀愛等級 +1。"
"真愛"	"真愛是雙向燃燒的火焰。它在兩個人的心靈深刻連結時誕生，一旦相連便無法再分離。從那一刻起，兩人將因內心湧現的力量而在一起，為彼此的結合帶來無比巨大的光焰。不幸的是，這樣的愛有其風險，如果有朝一日他們分離，可怕的事情可能會發生。"	"失去的愛"	"當你追憶你的愛時，花費 1 點友情點數，對失去光明動作加 +1"	"失去的愛"	"你忘了那一次嗎……"	"在聚會結束時，向桌上的其他人回答你是否已經忘記或能夠超越你的戀情。如果答案是肯定的，戀愛等級 -1。"
"衝突"	"儘管你們彼此相吸，這段關係卻總是不如預期。這段關係中有什麼東西出了問題，讓你們爭吵不休，阻礙你們在關係中成長。這種情況讓你們反覆分分合合，即使這意味著互相傷害。這類關係非常複雜，因為其中一方或雙方都還需要理清自己的問題。只有當一切都在內心安頓好了，他們才會知道這段關係是否值得轉化為其他形式，還是在造成更多傷害之前就此放手。"	"失去的愛"	"當你追憶你的愛時，花費 1 點友情點數以獲得 1 點光點"	"失去的愛"	"從否認到接受"	"在與此扮演書相關的決裂之後，或當你的關係處於深刻且你決定更換戀愛對象或放棄此扮演書時，觸發此動作。套用以下其中一項效果： 如果你經歷了決裂，你必須做出以下其中一個決定： ✽ 你不能再以同一個對象選擇此戀愛扮演書，立即執行失去光明動作。 ✽ 以同一個對象重新選擇此戀愛扮演書，獲得 1 級黑暗等級。 如果你因為關係處於深刻而觸發此動作，選擇： ✽ 消除 1 級黑暗等級。選擇一本新的戀愛扮演書，戀愛等級為 1。 ✽ 超越這段戀情，獲得 1 點閃耀點數，移除此戀愛扮演書，你不能再以同一角色選擇它。"
"單相思"	"單相思是一種你不期待或感覺不到對方回應你感情的關係。也許你的戀愛對象已經和別人在一起了，可能他不喜歡你，或者他只是不想破壞與你的友誼。無論原因是什麼，你能夠從內心汲取力量，僅僅滿足於待在他身邊。"	"真愛"	"獲得一條標記為戀愛／真愛的羈絆"	"真愛"	"不滅之焰"	"當你與戀人獨處並擁有一段親密場景時，戀愛等級 +1。"
"遠距關係"	"雖然有什麼東西將你們分隔——無論是現實中的數千公里、一個無法進入的地方（如寄宿學校），還是更超自然的因素如另一個現實或時間本身——你們仍然維持著這段關係。這類關係更難維繫，因為雙方都需要付出努力和承諾。找到讓兩人重聚的橋樑只是時間問題。"	"真愛"	"在聚會開始時獲得 1 點友情點數"	"真愛"	"心上的傷疤"	"當其中一方認為或發現對方欺騙、背叛或違背承諾時，戀愛等級 -1。"
"禁斷關係"	"因為某些原因，你們覺得這段關係必須對所有人隱瞞，因此保持祕密。原因可能非常多樣：挑戰了社會或家庭禁忌，違反了某些社會規範——如師生之間、兩位同事之間、兩位手足之間的關係等。這類關係不應被視為負面的，但參與者覺得周圍的世界不會接受它。"	"真愛"	"當你說明兩顆心的結合如何在困難時刻幫助你時，花費 1 點友情點數以降低 1 級黑暗等級"	"真愛"	"悲劇"	"如果發生決裂，除了決裂原本的效果外，兩人中的一方必須以某種方式永遠從另一方的生活中消失。該玩家角色永遠無法再擁有新的戀情（僅失去的愛除外）。"
"虛幻愛情"	"你對另一個人有著特別的感覺，一個特別而完美的人。從這份感情在你心中甦醒的那一刻起，你就知道對方只有和你在一起才會幸福，即使這需要你花費大量時間和精力。然而，這不過是一場幻覺，因為這一切都不存在。這份幻覺的原因可能是你患有中二病，而那個人甚至不存在；又或者如果是真實的人，他根本不知道你的存在。但這一切都不妨礙你完全堅信自己的愛。"	"衝突"	"獲得一條標記為戀愛／衝突的羈絆"	"衝突"	"這段關係……很複雜"	"如果在本次聚會中你沒有與戀愛對象發生激烈場景、爭吵或其他問題，戀愛等級 -1。"
""	""	"衝突"	"在聚會開始時，你可以將情感 +1 且思慮 -1，或情感 -1 且思慮 +1"	"衝突"	"心之燃燒"	"每次你與戀愛對象獨處進行生活故事場景時，追加以下選項： ✽ 戀愛等級 +1。"
""	""	"衝突"	"當你變身時獲得昇華 +1"	"衝突"	"我們需要談談我們要往哪裡去"	"當關係達到深刻，你獲得額外 1 級戀愛等級，並與戀人進行一段親密場景時，你可以選擇：進行一次沒有後果的決裂並獲得 1 點閃耀點數，或將此扮演書更換為另一本不同的扮演書，以同一角色作為羈絆對象。然後將戀愛量表設為 2。"
""	""	"單相思"	"獲得一條標記為戀愛／單相思的羈絆"	"單相思"	"心中的淚水"	"如果在聚會結束時你覺得自己沒有關心或注意你的戀愛對象，戀愛等級 -1。"
""	""	"單相思"	"當你只與戀愛對象一起使用生活故事動作時，獲得一個額外選項"	"單相思"	"敞開心扉"	"當你與戀愛對象共度親密時刻時，觸發生活故事動作。戀愛等級 +1。"
""	""	"單相思"	"當你的戀愛對象能看到你或你為幫助他而做某事時，保護 +1"	"單相思"	"一個抉擇：Bianca 還是 Nera"	"當你與戀愛對象發生決裂時，忽略決裂的效果，你永遠不能再以他為對象擁有戀情，除非是失去的愛。 如果你的戀愛等級為 5 且你向他告白，你可以花費你所有的友情點數（至少 5 點），並以該角色為對象選擇另一本戀愛扮演書，保持你原有的等級。 （譯註：動作名出自《勇者鬥惡龍 V》著名的「新娘抉擇」橋段。）"
""	""	"遠距關係"	"獲得一條標記為戀愛／遠距的羈絆"	"遠距關係"	"信來了"	"當你成功見到或以某種方式與標記為戀愛／遠距的角色聯繫時，獲得 1 點戀愛點數。"
""	""	"遠距關係"	"每場聚會一次，當你收到戀愛／遠距對象的直接聯繫時，花費 1 點友情點數以恢復一項後果"	"遠距關係"	"我下週會寫信給你"	"如果在聚會結束時你沒有嘗試與戀愛對象聯繫，失去 1 點戀愛點數。"
""	""	"遠距關係"	"在每次聚會開始時獲得 1 點友情點數"	"遠距關係"	"一首將傳唱數百年的歌"	"如果在某個時刻，你和你的戀愛對象得以擺脫造成遠距的阻礙、再度相見，將此扮演書更換為另一本，戀愛等級為 2。"
""	""	"禁斷關係"	"獲得一條標記為戀愛／禁斷的羈絆"	"禁斷關係"	"沒有人能告訴我該怎麼做"	"當你面對某個正在傷害或批評你戀愛／禁斷對象的人，並為對方辯護時，戀愛點數 +1。"
""	""	"禁斷關係"	"所有以維持戀情祕密為目的的動作加 +1"	"禁斷關係"	"也許我們最好分開"	"當你對這段關係產生懷疑，或為了做別人期望你做的事而將它擱置一旁時，戀愛點數 -1。"
""	""	"禁斷關係"	"後果額外吸收 2 點傷痛"	"禁斷關係"	"真正重要的是我們自己"	"如果你的關係達到深刻且你獲得新的 1 點戀愛點數，在以下選項中做出選擇： ✽ 被社會接受。將戀愛類型更換為另一本扮演書，等級為 3。 ✽ 說明你們為什麼不希望這段關係脫離目前的狀態。戀愛等級降至 1，獲得 1 點閃耀點數。"
""	""	"虛幻愛情"	"獲得一條標記為戀愛／幻想的羈絆"	"虛幻愛情"	"那座沙堡"	"當發生某件讓你產生懷疑或出現證據顯示你的戀情其實不存在時，桌上的人會問你一個問題：你懷疑你的幻想嗎？如果你回答「是」，戀愛點數 -1。"
""	""	"虛幻愛情"	"抵抗黑暗和失去光明動作加 +1"	"虛幻愛情"	"這是真的，我的心就是這麼感受的"	"每次你在公眾面前為你戀情的存在辯護，駁斥他們的論點並說明為什麼它是真實的，戀愛點數 +1。"
""	""	"虛幻愛情"	"當你獲得黑暗點數時，花費 1 點友情點數並說明你與戀愛／幻想對象的下一個計畫。避免獲得黑暗點數"	"虛幻愛情"	"其實你從一開始就知道了"	"當你經歷決裂時，沒有任何後果，但你不能以同一個對象建立新的虛幻愛情。"
