"友情扮演書"	""	"羈絆"	""	"標籤"	""	"問題"	""	"動作"	""	""
"家族"	"對你來說，家人是最重要的。你的生活圍繞著他們運轉，你所做的一切都是為了幫助他們。你認為自己是維繫家庭的支柱，不能容許任何壞事發生在他們身上。"	"家族"	"你擁有的羈絆數量等於玩家角色數 +3。"	"家族"	"額外的 3 條羈絆（超出玩家角色數的部分）必須帶有與你家人相關的標籤（母親、叔叔、表姊、姪子等）。如果某位玩家角色也是你的家人，你可以為其指定家族標籤。"	"家族"	"你的父母是怎樣的人？他們的現況如何？你有兄弟姊妹嗎？你和他們每個人相處得如何？請說出你與每位家人的一段回憶。"	"家族"	"我的家人就是我的光明"	"當你與至少兩條標記為家族的羈絆一起執行生活故事動作時，消除 1 點黑暗點數。"
"忠誠"	"你覺得成為魔法少女是你的責任，並且決定站在其他人身邊，無論情況多麼黑暗或危險。你永遠不會屈服也不會拋棄同伴；所有人都毫不懷疑，你會為她們赴湯蹈火。"	"忠誠"	"你擁有的羈絆數量等於玩家角色數。"	"忠誠"	"無特殊標籤。"	"忠誠"	"你第一次認識每個人是怎樣的情形？是什麼讓你發誓要保護她們？你是如何向每個人展示你的忠誠的？她們知道嗎？"	"家族"	"我會保護我的家人"	"當標記為家族的人陷入危險時，以幫助他為目標的動作加 +1。"
"愛操心"	"有某種力量驅使你介入他人的生活來幫助他們，即使他們並不同意你這麼做！你的使命是永遠在她們身邊，教導她們，分享彼此的生活。"	"愛操心"	"你擁有的羈絆數量等於玩家角色數 +1。"	"愛操心"	"無特殊標籤。"	"愛操心"	"是什麼促使你想幫助他？說一次別人幫助過你的經歷。說一次你的幫助反而給他帶來麻煩的經歷。"	"家族"	"吃頓熱飯然後上床睡覺"	"在聚會結束時獲得 1 點友情點數。"
"心之所繫"	"你是一個擁有寬大胸懷的人，已經成為許多人羈絆的中心。無論是因為你的樂觀、你散發的光芒，還是你的魅力，那些心靈與連結它們的絲線，都讓你成為許多人生命中非常重要的存在，而他們也成為你生命的一部分。"	"心之所繫"	"你擁有的羈絆數量等於玩家角色數 +5。"	"心之所繫"	"無特殊標籤。"	"心之所繫"	"是什麼讓人們親近你？你第一次認識每條羈絆的對象是怎樣的情形？"	"家族"	"放開他，否則你就完了"	"如果你的家人在場景中，且你用與他們相關的事物威脅敵人，獲得 1 點光點。每個場景最多一次。"
"純真羈絆"	"你有很多朋友，但其中一位與你之間有著比其他人更純粹的連結。那個人就像你自己在另一個地方誕生的一部分。儘管分隔兩地，你的心仍然記得並與她的心相連。你願意為她做任何事，牽起她的手陪她去任何需要去的地方。"	"純真羈絆"	"你擁有的羈絆數量等於玩家角色數 +1。"	"純真羈絆"	"將一位玩家角色標記為「最好的朋友」。"	"純真羈絆"	"你是怎麼認識她的？為什麼她對你如此重要？你希望在哪些方面像她？她對你有什麼看法？"	"忠誠"	"寬大的胸懷"	"你的友情點數上限增加 +5（總共 15 點）。"
"勁敵"	"你很厲害，很多人說你是最強的。你不僅經過訓練，還因血統而擁有天賦，這讓你覺得自己是完美的。然而，有另一個人讓你感到自卑並超越了你，即使你擊敗了她，看起來似乎也是她贏了。你永遠不會承認，但實際上你很欽佩她。你希望她注意到你、認可你，這樣你們兩人就能作為平等的對手並肩前行。"	"勁敵"	"你擁有的羈絆數量等於玩家角色數 +1。"	"勁敵"	"選擇一位玩家角色並將其標記為「勁敵」。"	"勁敵"	"你欽佩她什麼？她第一次打敗你是什麼時候？你們對彼此的第一印象如何？"	"忠誠"	"忠於使命"	"在聚會結束時，如果你參與了生活故事動作，選擇兩項： ✽ 獲得 1 點友情點數。 ✽ 消除 1 點黑暗點數。 ✽ 恢復一項後果。"
"前輩"	"你並非刻意為之，但你已經成為了某人的前輩。那個人尋求你的建議，在生活的各個方面都視你為榜樣。現在你覺得自己對她和她的行為負有責任，但作為回報，看著你的後輩日復一日地進步讓你感到驕傲。"	"前輩"	"選擇：擁有等於玩家角色數 +1 的羈絆，或擁有等於玩家角色數 +2 的羈絆（見標籤）。"	"前輩"	"如果你擁有等於玩家角色數 +1 的羈絆，將一位玩家角色標記為後輩（Kōhai）。如果你擁有等於玩家角色數 +2 的羈絆，將一位非玩家角色標記為後輩。"	"前輩"	"她最欽佩你什麼？你欽佩她什麼？你為什麼接受成為她的導師？她請求你成為她前輩的那一刻是怎樣的？"	"忠誠"	"與我同泣"	"當你對一位即將獲得黑暗點數的玩家角色說出鼓勵的話語時，花費 1 點友情點數：該玩家角色不會獲得那些黑暗點數。"
"獨行俠"	"沉默又害羞，很多人眼中的你就是如此。但事實是你難以表達自己，不想讓別人承擔你的問題。你決定將你的感受深深埋藏在心底。然而，你的生命中有一個人守護著你的祕密，在你需要傾訴的時候陪伴著你。"	"獨行俠"	"你擁有的羈絆數量等於玩家角色數 +1。"	"獨行俠"	"將你的一條羈絆標記為「知己」。"	"獨行俠"	"她為什麼成為你的知己？你向她透露的第一個祕密是什麼？你認為最危險的祕密是什麼？她知道嗎？"	"忠誠"	"我的一部分存在於每顆心中"	"當一位玩家角色花費 1 點友情點數時，你可以代替他花費。"
"姊妹會"	"對你來說，你的朋友不僅僅是朋友，她們是姊妹。透過友誼的儀式，你與她們每個人緊緊相連，你們的靈魂交織在一起。這種連結是超越物質的——你無法想像沒有姊妹的世界，因為你知道只有在大家團聚時才是最強大的。"	"姊妹會"	"你擁有的羈絆數量等於玩家角色數 +2。"	"姊妹會"	"將你所有的羈絆標記為「姊妹」。"	"姊妹會"	"為什麼你認為大家在一起如此重要？你接納某人成為姊妹的儀式是什麼？誰是第一位？誰是最後一位？"	"愛操心"	"依我看來……"	"如果一位玩家角色向你徵求建議，而他最終決定採納，你的下一個動作加 +1。"
"大姐頭"	"無論你在哪裡，她們都會在你身邊。你身邊總是跟著你的女孩們——或男孩們——他們視你為團隊的領袖和生活中的榜樣。當你受傷時，她們會跳出來保護你；當你哭泣時，其他人會支持你；當她們迷失方向時，她們把你當作指引方向的燈塔……對她們來說，你是她們生命中最珍貴的存在，她們會毫不猶豫地為你的幸福和安全做任何事。"	"大姐頭"	"你擁有的羈絆數量等於玩家角色數 +3。"	"大姐頭"	"建立三位非玩家角色，並將每條羈絆標記為「夥伴」。"	"大姐頭"	"你們是怎麼認識的？你們一群人在外面時被怎麼稱呼？為什麼她們認為你是領袖？她們知道你是魔法少女嗎？你的夥伴們對其他魔法少女有什麼看法？"	"愛操心"	"如果你聽從我的建議就能成功"	"每次你給一位玩家角色提供建議時，在聚會結束時問他是否有用。如果回答「是」，獲得 1 點友情點數。"
